trace,arrival,lifespan,cores,jobid,sim,reruns,sim_start,est_end,end,lived,nodenames
trace,1597,217,2,3086_1,sim,0,1597,1814,1814,217,bigdata_main_node_06
trace,1427,395,2,2845_1,sim,0,1427,1822,1822,395,bigdata_main_node_09
trace,1613,210,2,3100_2,sim,0,1613,1823,1823,210,bigdata_main_node_01
trace,1620,203,2,3102_1,sim,0,1620,1823,1823,203,bigdata_main_node_01
trace,1621,202,2,3102_2,sim,0,1621,1823,1823,202,bigdata_main_node_01
trace,1624,199,2,3105_2,sim,0,1624,1823,1823,199,bigdata_main_node_09
trace,1613,211,2,3100_1,sim,0,1613,1824,1824,211,bigdata_main_node_06
trace,1224,601,2,2337_1,sim,0,1224,1825,1825,601,bigdata_main_node_03
trace,1624,201,2,3105_1,sim,0,1624,1825,1825,201,bigdata_main_node_09
trace,1575,257,2,3018_1,sim,0,1575,1832,1832,257,bigdata_main_node_06
trace,1568,268,2,2999_1,sim,0,1568,1836,1836,268,bigdata_main_node_03
trace,1643,196,2,3133_1,sim,0,1643,1839,1839,196,bigdata_main_node_02
trace,1644,197,2,3133_2,sim,0,1644,1841,1841,197,bigdata_main_node_01
trace,1420,430,2,2827_1,sim,0,1420,1850,1850,430,bigdata_main_node_09
trace,1286,566,2,2464_1,sim,0,1286,1852,1852,566,bigdata_main_node_05
trace,1562,296,2,2983_1,sim,0,1562,1858,1858,296,bigdata_main_node_08
trace,1224,635,2,2339_1,sim,0,1224,1859,1859,635,bigdata_main_node_03
trace,1634,234,2,3121_1,sim,0,1634,1868,1868,234,bigdata_main_node_02
trace,1634,235,2,3121_2,sim,0,1634,1869,1869,235,bigdata_main_node_02
trace,1521,349,2,2932_1,sim,0,1521,1870,1870,349,bigdata_main_node_05
trace,1666,207,2,3185_1,sim,0,1666,1873,1873,207,bigdata_main_node_01
trace,1672,210,2,3185_2,sim,0,1672,1882,1882,210,bigdata_main_node_04
trace,1667,218,2,3178_1,sim,0,1667,1885,1885,218,bigdata_main_node_03
trace,1668,228,2,3178_2,sim,0,1668,1896,1896,228,bigdata_main_node_08
trace,638,1260,2,1527_1,sim,0,638,1898,1898,1260,bigdata_main_node_02
trace,1579,323,2,3043_1,sim,0,1579,1902,1902,323,bigdata_main_node_06
trace,1567,339,2,3002_1,sim,0,1567,1906,1906,339,bigdata_main_node_08
trace,1499,415,2,2915_1,sim,0,1499,1914,1914,415,bigdata_main_node_01
trace,1670,253,2,3169_1,sim,0,1670,1923,1923,253,bigdata_main_node_08
trace,1568,359,2,2986_1,sim,0,1568,1927,1927,359,bigdata_main_node_03
trace,1572,357,2,3005_1,sim,0,1572,1929,1929,357,bigdata_main_node_05
trace,1575,358,2,3021_1,sim,0,1575,1933,1933,358,bigdata_main_node_06
trace,1678,256,2,3198_1,sim,0,1678,1934,1934,256,bigdata_main_node_09
trace,1679,256,2,3198_2,sim,0,1679,1935,1935,256,bigdata_main_node_09
trace,1572,369,2,3007_1,sim,0,1572,1941,1941,369,bigdata_main_node_03
trace,1496,446,2,2913_1,sim,0,1496,1942,1942,446,bigdata_main_node_01
trace,1705,239,2,3241_1,sim,0,1705,1944,1944,239,bigdata_main_node_05
trace,1705,239,2,3241_2,sim,0,1705,1944,1944,239,bigdata_main_node_04
trace,1576,380,2,3023_1,sim,0,1576,1956,1956,380,bigdata_main_node_06
trace,1428,532,2,2847_1,sim,0,1428,1960,1960,532,bigdata_main_node_09
trace,1569,402,2,3010_1,sim,0,1569,1971,1971,402,bigdata_main_node_03
trace,1443,532,2,2859_1,sim,0,1443,1975,1975,532,bigdata_main_node_05
trace,1420,559,2,2830_1,sim,0,1420,1979,1979,559,bigdata_main_node_09
trace,1576,406,2,3026_1,sim,0,1576,1982,1982,406,bigdata_main_node_06
trace,1568,415,2,2989_1,sim,0,1568,1983,1983,415,bigdata_main_node_03
trace,1573,411,2,3013_1,sim,0,1573,1984,1984,411,bigdata_main_node_03
trace,1702,283,2,3235_1,sim,0,1702,1985,1985,283,bigdata_main_node_02
trace,1703,283,2,3235_2,sim,0,1703,1986,1986,283,bigdata_main_node_02
trace,1690,297,2,3214_1,sim,0,1690,1987,1987,297,bigdata_main_node_01
trace,1690,297,2,3214_2,sim,0,1690,1987,1987,297,bigdata_main_node_01
trace,1723,274,2,3302_1,sim,0,1723,1997,1997,274,bigdata_main_node_08
trace,1567,440,2,2991_1,sim,0,1567,2007,2007,440,bigdata_main_node_08
trace,1573,451,2,3015_1,sim,0,1573,2024,2024,451,bigdata_main_node_06
trace,1433,600,2,2851_1,sim,0,1433,2033,2033,600,bigdata_main_node_09
trace,1798,239,2,3375_1,sim,0,1798,2037,2037,239,bigdata_main_node_09
trace,1783,263,2,3358_1,sim,0,1783,2046,2046,263,bigdata_main_node_05
trace,1593,469,2,3073_1,sim,0,1593,2062,2062,469,bigdata_main_node_05
trace,1619,449,2,3110_1,sim,0,1619,2068,2068,449,bigdata_main_node_06
trace,1570,506,2,2994_1,sim,0,1570,2076,2076,506,bigdata_main_node_03
trace,1844,243,2,3411_1,sim,0,1844,2087,2087,243,bigdata_main_node_02
trace,1910,192,2,3465_2,sim,0,1910,2102,2102,192,bigdata_main_node_06
trace,1910,198,2,3465_1,sim,0,1910,2108,2108,198,bigdata_main_node_05
trace,1936,183,2,3516_2,sim,0,1936,2119,2119,183,bigdata_main_node_05
trace,1936,185,2,3516_1,sim,0,1936,2121,2121,185,bigdata_main_node_03
trace,1823,312,2,3406_1,sim,0,1823,2135,2135,312,bigdata_main_node_09
trace,1522,618,2,2935_1,sim,0,1522,2140,2140,618,bigdata_main_node_05
trace,1783,359,2,3361_1,sim,0,1783,2142,2142,359,bigdata_main_node_09
trace,1942,203,2,3524_2,sim,0,1942,2145,2145,203,bigdata_main_node_03
trace,1793,354,2,3366_1,sim,0,1793,2147,2147,354,bigdata_main_node_09
trace,1960,187,2,3580_1,sim,0,1960,2147,2147,187,bigdata_main_node_09
trace,1960,187,2,3580_2,sim,0,1960,2147,2147,187,bigdata_main_node_09
trace,1945,203,2,3524_1,sim,0,1945,2148,2148,203,bigdata_main_node_05
trace,1966,206,2,3594_1,sim,0,1966,2172,2172,206,bigdata_main_node_01
trace,1966,206,2,3594_2,sim,0,1966,2172,2172,206,bigdata_main_node_01
trace,1916,258,2,3483_1,sim,0,1916,2174,2174,258,bigdata_main_node_03
trace,1916,259,2,3483_2,sim,0,1916,2175,2175,259,bigdata_main_node_03
trace,1965,218,2,3584_2,sim,0,1965,2183,2183,218,bigdata_main_node_09
trace,1956,231,2,3567_1,sim,0,1956,2187,2187,231,bigdata_main_node_06
trace,1956,231,2,3567_2,sim,0,1956,2187,2187,231,bigdata_main_node_09
trace,1965,222,2,3584_1,sim,0,1965,2187,2187,222,bigdata_main_node_09
trace,1951,240,2,3544_1,sim,0,1951,2191,2191,240,bigdata_main_node_06
trace,1951,240,2,3544_2,sim,0,1951,2191,2191,240,bigdata_main_node_08
trace,1802,397,2,3377_1,sim,0,1802,2199,2199,397,bigdata_main_node_08
trace,2010,197,2,3646_1,sim,0,2010,2207,2207,197,bigdata_main_node_08
trace,1913,297,2,3476_2,sim,0,1913,2210,2210,297,bigdata_main_node_03
trace,1913,298,2,3476_1,sim,0,1913,2211,2211,298,bigdata_main_node_02
trace,1984,228,2,3615_1,sim,0,1984,2212,2212,228,bigdata_main_node_05
trace,1910,309,2,3471_1,sim,0,1910,2219,2219,309,bigdata_main_node_06
