start_time,lifespan,cores,job_id
9264,520,1,11402_1
9270,186,1,11412_1
9271,319,1,11417_1
9310,5608,1,11473_1
9310,5608,1,11473_2
9310,5608,1,11473_3
9310,5608,1,11473_4
9310,688,1,11476_1
9310,688,1,11476_2
9314,899,1,11488_1
9314,899,1,11488_2
9322,1159,1,11500_1
9322,1159,1,11500_2
9326,200,1,11504_1
9326,208,1,11509_1
9327,331,1,11526_1
9327,334,1,11528_1
9327,345,1,11531_1
9368,784,1,11625_1
9368,784,1,11625_2
9368,207,1,11632_1
9383,5742,1,11670_1
9383,5742,1,11670_2
9383,5742,1,11670_3
9383,5742,1,11670_4
9391,2062,1,11684_1
9391,2062,1,11684_2
9391,2062,1,11684_3
9391,2062,1,11684_4
9391,2411,1,11686_1
9391,2411,1,11686_2
9391,2411,1,11686_3
9391,2411,1,11686_4
9391,3053,1,11689_1
9391,3053,1,11689_2
9391,3053,1,11689_3
9391,3053,1,11689_4
9391,3820,1,11692_1
9391,3820,1,11692_2
9391,3820,1,11692_3
9391,3820,1,11692_4
9391,3127,1,11694_1
9391,3127,1,11694_2
9391,3127,1,11694_3
9391,3127,1,11694_4
9391,4281,1,11697_1
9391,4281,1,11697_2
9391,4281,1,11697_3
9391,4281,1,11697_4
9393,1481,1,11701_1
9393,1709,1,11704_1
9396,5522,1,11718_1
9396,5522,1,11718_2
9396,5522,1,11718_3
9396,5522,1,11718_4
9398,5520,1,11724_1
9398,5520,1,11724_2
9398,5520,1,11724_3
9398,5520,1,11724_4
9400,735,1,11727_1
9400,735,1,11727_2
9400,749,1,11730_1
9400,749,1,11730_2
9414,214,1,11794_1
9414,181,1,11803_1
9414,852,1,11806_1
9417,2264,1,11809_1
9436,2268,1,11881_1
9436,2268,1,11881_2
9436,2268,1,11881_3
9466,290,1,11979_1
9466,334,1,11982_1
9477,2227,1,12039_1
9477,2227,1,12039_2
9477,2227,1,12039_3
9477,354,1,12042_1
9482,205,1,12046_1
9482,762,1,12054_1
9487,276,1,12061_1
9489,254,1,12065_1
9493,686,1,12089_1
9494,189,1,12105_1
9518,799,1,12172_1
9518,799,1,12172_2
9535,957,1,12228_1
9541,1048,1,12238_1
9541,1048,1,12238_2
9591,475,1,12288_1
9598,1148,1,12300_1
9598,1148,1,12300_2
9612,295,1,12321_1
9615,184,1,12326_1
9625,804,1,12337_1
9625,804,1,12337_2
9658,1663,1,12396_1
9682,470,1,12435_1
9699,5425,1,12477_1
9699,5425,1,12477_2
9699,5425,1,12477_3
9699,5425,1,12477_4
9719,387,1,12508_1
9728,288,1,12526_1
9743,2526,1,12566_1
9743,2526,1,12566_2
9743,2526,1,12566_3
9743,2526,1,12566_4
9743,2526,1,12566_5
9743,2526,1,12566_6
9743,2526,1,12566_7
9743,2526,1,12566_8
9743,2526,1,12566_9
9743,2526,1,12566_10
9743,2526,1,12566_11
9743,2526,1,12566_12
9835,238,1,12781_1
9842,221,1,12801_1
