trace,arrival,lifespan,cores,jobid,sim,reruns,sim_start,est_end,end,lived,nodenames
trace,4227,242,6,174.0,sim,0,4227,4469,4469,242,'[''hpc_main_node_22'', ''hpc_main_node_25'', ''hpc_main_node_06'', ''hpc_main_node_12'', ''hpc_main_node_05'', ''hpc_main_node_14'']'
trace,4249,250,6,176.0,sim,0,4249,4499,4499,250,'[''hpc_main_node_36'', ''hpc_main_node_13'', ''hpc_main_node_46'', ''hpc_main_node_28'', ''hpc_main_node_43'', ''hpc_main_node_19'']'
trace,4205,324,6,172.0,sim,0,4205,4529,4529,324,'[''hpc_main_node_38'', ''hpc_main_node_18'', ''hpc_main_node_33'', ''hpc_main_node_04'', ''hpc_main_node_30'', ''hpc_main_node_07'']'
trace,4260,269,6,177.0,sim,0,4260,4529,4529,269,'[''hpc_main_node_15'', ''hpc_main_node_40'', ''hpc_main_node_23'', ''hpc_main_node_16'', ''hpc_main_node_27'', ''hpc_main_node_41'']'
trace,4271,267,6,178.0,sim,0,4410,4677,4677,267,'[''hpc_main_node_03'', ''hpc_main_node_11'', ''hpc_main_node_17'', ''hpc_main_node_20'', ''hpc_main_node_29'', ''hpc_main_node_37'']'
trace,4292,267,6,180.0,sim,0,4440,4707,4707,267,'[''hpc_main_node_45'', ''hpc_main_node_47'', ''hpc_main_node_44'', ''hpc_main_node_39'', ''hpc_main_node_02'', ''hpc_main_node_21'']'
trace,4336,267,6,184.0,sim,0,4469,4736,4736,267,'[''hpc_main_node_22'', ''hpc_main_node_25'', ''hpc_main_node_06'', ''hpc_main_node_12'', ''hpc_main_node_05'', ''hpc_main_node_14'']'
trace,4347,267,6,185.0,sim,0,4499,4766,4766,267,'[''hpc_main_node_36'', ''hpc_main_node_13'', ''hpc_main_node_46'', ''hpc_main_node_28'', ''hpc_main_node_43'', ''hpc_main_node_19'']'
trace,4315,327,6,182.0,sim,0,4469,4796,4796,327,'[''hpc_main_node_32'', ''hpc_main_node_10'', ''hpc_main_node_49'', ''hpc_main_node_01'', ''hpc_main_node_34'', ''hpc_main_node_48'']'
trace,4358,267,6,186.0,sim,0,4529,4796,4796,267,'[''hpc_main_node_38'', ''hpc_main_node_18'', ''hpc_main_node_33'', ''hpc_main_node_04'', ''hpc_main_node_30'', ''hpc_main_node_07'']'
trace,4379,327,6,188.0,sim,0,4529,4856,4856,327,'[''hpc_main_node_15'', ''hpc_main_node_40'', ''hpc_main_node_23'', ''hpc_main_node_16'', ''hpc_main_node_27'', ''hpc_main_node_41'']'
trace,4304,447,6,181.0,sim,0,4440,4887,4887,447,'[''hpc_main_node_26'', ''hpc_main_node_35'', ''hpc_main_node_08'', ''hpc_main_node_31'', ''hpc_main_node_42'', ''hpc_main_node_09'']'
trace,4390,268,6,189.0,sim,0,4677,4945,4945,268,'[''hpc_main_node_03'', ''hpc_main_node_11'', ''hpc_main_node_17'', ''hpc_main_node_20'', ''hpc_main_node_29'', ''hpc_main_node_37'']'
