trace,arrival,lifespan,cores,ram,jobid,sim,reruns,sim_start,est_end,end,lived,nodenames
trace,10482,2911.0,2.0,3.5,269.0,sim,0,10482,13393.0,13393,2911,cloud50_node_16
trace,10498,2901.0,4.0,7.0,272.0,sim,0,10498,13399.0,13399,2901,cloud50_node_16
trace,10490,2912.0,1.0,2.0,271.0,sim,0,10490,13402.0,13402,2912,cloud50_node_16
trace,10475,2928.0,1.0,2.0,268.0,sim,0,10475,13403.0,13403,2928,cloud50_node_16
trace,10466,2959.0,4.0,7.0,266.0,sim,0,10466,13425.0,13425,2959,cloud50_node_16
trace,10458,2971.0,1.0,2.0,265.0,sim,0,10458,13429.0,13429,2971,cloud50_node_16
trace,10450,2996.0,1.0,2.0,263.0,sim,0,10450,13446.0,13446,2996,cloud50_node_12
trace,10442,3013.0,1.0,2.0,262.0,sim,0,10442,13455.0,13455,3013,cloud50_node_09
trace,10434,3026.0,4.0,7.0,260.0,sim,0,10434,13460.0,13460,3026,cloud50_node_09
trace,11276,2508.0,8.0,14.0,302.0,sim,0,11276,13784.0,13784,2508,cloud50_node_10
trace,11284,2508.0,2.0,3.5,304.0,sim,0,11284,13792.0,13792,2508,cloud50_node_16
trace,11267,2533.0,4.0,7.0,301.0,sim,0,11267,13800.0,13800,2533,cloud50_node_16
trace,11292,2508.0,1.0,2.0,305.0,sim,0,11292,13800.0,13800,2508,cloud50_node_16
trace,11251,2569.0,1.0,2.0,298.0,sim,0,11251,13820.0,13820,2569,cloud50_node_14
trace,11259,2563.0,2.0,3.5,299.0,sim,0,11259,13822.0,13822,2563,cloud50_node_16
trace,11214,2616.0,8.0,14.0,292.0,sim,0,11214,13830.0,13830,2616,cloud50_node_11
trace,11223,2616.0,1.0,2.0,293.0,sim,0,11223,13839.0,13839,2616,cloud50_node_14
trace,11230,2611.0,8.0,14.0,295.0,sim,0,11230,13841.0,13841,2611,cloud50_node_02
trace,11243,2604.0,2.0,3.5,296.0,sim,0,11243,13847.0,13847,2604,cloud50_node_14
trace,11191,2689.0,2.0,3.5,289.0,sim,0,11191,13880.0,13880,2689,cloud50_node_14
trace,11202,2683.0,1.0,2.0,290.0,sim,0,11202,13885.0,13885,2683,cloud50_node_14
trace,11163,2736.0,2.0,3.5,284.0,sim,0,11163,13899.0,13899,2736,cloud50_node_13
trace,11171,2731.0,1.0,2.0,286.0,sim,0,11171,13902.0,13902,2731,cloud50_node_13
trace,11155,2754.0,2.0,3.5,283.0,sim,0,11155,13909.0,13909,2754,cloud50_node_13
trace,11183,2731.0,1.0,2.0,287.0,sim,0,11183,13914.0,13914,2731,cloud50_node_14
trace,11146,2790.0,1.0,2.0,281.0,sim,0,11146,13936.0,13936,2790,cloud50_node_13
trace,11944,2442.0,2.0,3.5,313.0,sim,0,11944,14386.0,14386,2442,cloud50_node_13
trace,11955,2436.0,4.0,7.0,314.0,sim,0,11955,14391.0,14391,2436,cloud50_node_14
trace,11963,2437.0,2.0,3.5,316.0,sim,0,11963,14400.0,14400,2437,cloud50_node_13
trace,11978,2425.0,1.0,2.0,317.0,sim,0,11978,14403.0,14403,2425,cloud50_node_16
trace,11991,2412.0,1.0,2.0,319.0,sim,0,11991,14403.0,14403,2412,cloud50_node_10
trace,12012,2394.0,2.0,3.5,322.0,sim,0,12012,14406.0,14406,2394,cloud50_node_14
trace,11906,2503.0,2.0,3.5,307.0,sim,0,11906,14409.0,14409,2503,cloud50_node_01
trace,12003,2407.0,1.0,2.0,320.0,sim,0,12003,14410.0,14410,2407,cloud50_node_14
trace,12021,2389.0,8.0,14.0,323.0,sim,0,12021,14410.0,14410,2389,cloud50_node_11
trace,12031,2382.0,8.0,14.0,325.0,sim,0,12031,14413.0,14413,2382,cloud50_node_11
trace,11924,2490.0,2.0,3.5,310.0,sim,0,11924,14414.0,14414,2490,cloud50_node_01
trace,12038,2377.0,1.0,2.0,326.0,sim,0,12038,14415.0,14415,2377,cloud50_node_14
trace,11916,2502.0,4.0,7.0,308.0,sim,0,11916,14418.0,14418,2502,cloud50_node_10
trace,11931,2491.0,2.0,3.5,311.0,sim,0,11931,14422.0,14422,2491,cloud50_node_13
trace,12048,2375.0,1.0,2.0,328.0,sim,0,12048,14423.0,14423,2375,cloud50_node_14
trace,12058,2371.0,1.0,2.0,329.0,sim,0,12058,14429.0,14429,2371,cloud50_node_14
trace,12818,2197.0,4.0,7.0,349.0,sim,0,12818,15015.0,15015,2197,cloud50_node_08
