timestamp,nodes_owned,nodes_cur_cap,nodes_in_use,nodes_indemand,jobs_waiting,jobs_running,jobs_completed,jobs_cancelled,jobs_failed
34671,49,49,0,0,0,0,416,0,0
34682,49,49,0,0,0,0,416,0,0
34693,49,49,0,0,0,0,416,0,0
34704,49,49,0,0,0,0,416,0,0
34714,49,49,0,0,0,0,416,0,0
34725,49,49,0,0,0,0,416,0,0
34736,49,49,0,0,0,0,416,0,0
34747,49,49,0,0,0,0,416,0,0
34757,49,49,0,0,0,0,416,0,0
34768,49,49,0,0,0,0,416,0,0
34779,49,49,0,0,0,0,416,0,0
34790,49,49,0,0,0,0,416,0,0
34800,49,49,0,0,0,0,416,0,0
34811,49,49,0,0,0,0,416,0,0
34822,49,49,0,0,0,0,416,0,0
34833,49,49,0,0,0,0,416,0,0
34843,49,49,0,0,0,0,416,0,0
34854,49,49,0,0,0,0,416,0,0
34865,49,49,0,0,0,0,416,0,0
34876,49,49,0,0,0,0,416,0,0
34887,49,49,0,0,0,0,416,0,0
34897,49,49,0,0,0,0,416,0,0
34908,49,49,0,0,0,0,416,0,0
34918,49,49,0,0,0,0,416,0,0
34929,49,49,0,0,0,0,416,0,0
34940,49,49,0,0,0,0,416,0,0
34951,49,49,0,0,0,0,416,0,0
34961,49,49,0,0,0,0,416,0,0
34972,49,49,0,0,0,0,416,0,0
34983,49,49,0,0,0,0,416,0,0
34994,49,49,0,0,0,0,416,0,0
35004,49,49,0,0,0,0,416,0,0
35015,49,49,0,0,0,0,416,0,0
35026,49,49,0,0,0,0,416,0,0
35037,49,49,0,0,0,0,416,0,0
35047,49,49,0,0,0,0,416,0,0
35058,49,49,0,0,0,0,416,0,0
35069,49,49,0,0,0,0,416,0,0
35079,49,49,0,0,0,0,416,0,0
35090,49,49,0,0,0,0,416,0,0
35101,49,49,0,0,0,0,416,0,0
35112,49,49,0,0,0,0,416,0,0
35122,49,49,0,0,0,0,416,0,0
35133,49,49,0,0,0,0,416,0,0
35144,49,49,0,0,0,0,416,0,0
35155,49,49,0,0,0,0,416,0,0
35165,49,49,0,0,0,0,416,0,0
35176,49,49,0,0,0,0,416,0,0
35187,49,49,0,0,0,0,416,0,0
35198,49,49,0,0,0,0,416,0,0
35208,49,49,0,0,0,0,416,0,0
35219,49,49,0,0,0,0,416,0,0
35230,49,49,0,0,0,0,416,0,0
35241,49,49,0,0,0,0,416,0,0
35252,49,49,0,0,0,0,416,0,0
35263,49,49,0,0,0,0,416,0,0
35273,49,49,0,0,0,0,416,0,0
35284,49,49,0,0,0,0,416,0,0
35296,49,49,0,0,0,0,416,0,0
35306,49,49,0,0,0,0,416,0,0
35318,49,49,0,0,0,0,416,0,0
35328,49,49,0,0,0,0,416,0,0
35339,49,49,0,0,0,0,416,0,0
35350,49,49,0,0,0,0,416,0,0
35360,49,49,0,0,0,0,416,0,0
35371,49,49,0,0,0,0,416,0,0
35382,49,49,0,0,0,0,416,0,0
35393,49,49,0,0,0,0,416,0,0
35403,49,49,0,0,0,0,416,0,0
35414,49,49,0,0,0,0,416,0,0
35432,49,49,0,0,0,0,416,0,0
35443,49,49,0,0,0,0,416,0,0
35454,49,49,0,0,0,0,416,0,0
35465,49,49,0,0,0,0,416,0,0
35475,49,49,0,0,0,0,416,0,0
35486,49,49,0,0,0,0,416,0,0
35497,49,49,0,0,0,0,416,0,0
35508,49,49,0,0,0,0,416,0,0
35518,49,49,0,0,0,0,416,0,0
35529,49,49,0,0,0,0,416,0,0
35540,49,49,0,0,0,0,416,0,0
35550,49,49,0,0,0,0,416,0,0
35561,49,49,0,0,0,0,416,0,0
35572,49,49,0,0,0,0,416,0,0
35583,49,49,0,0,0,0,416,0,0
35594,49,49,0,0,0,0,416,0,0
35604,49,49,0,0,0,0,416,0,0
35615,49,49,0,0,0,0,416,0,0
35626,49,49,0,0,0,0,416,0,0
35637,49,49,0,0,0,0,416,0,0
35647,49,49,0,0,0,0,416,0,0
35658,49,49,0,0,0,0,416,0,0
35669,49,49,0,0,0,0,416,0,0
35680,49,49,0,0,0,0,416,0,0
35691,49,49,0,0,0,0,416,0,0
35702,49,49,0,0,0,0,416,0,0
35713,49,49,0,0,0,0,416,0,0
35723,49,49,0,0,0,0,416,0,0
35734,49,49,0,0,0,0,416,0,0
35744,49,49,0,0,0,0,416,0,0
35755,49,49,0,0,0,0,416,0,0
35766,49,49,0,0,0,0,416,0,0
35777,49,49,0,0,0,0,416,0,0
35787,49,49,0,0,0,0,416,0,0
35798,49,49,0,0,0,0,416,0,0
35809,49,49,0,0,0,0,416,0,0
35820,49,49,0,0,0,0,416,0,0
35830,49,49,0,0,0,0,416,0,0
35841,49,49,0,0,0,0,416,0,0
35852,49,49,0,0,0,0,416,0,0
35863,49,49,0,0,0,0,416,0,0
35874,49,49,0,0,0,0,416,0,0
35884,49,49,0,0,0,0,416,0,0
35895,49,49,0,0,0,0,416,0,0
35906,49,49,0,0,0,0,416,0,0
35916,49,49,0,0,0,0,416,0,0
35927,49,49,0,0,0,0,416,0,0
35938,49,49,0,0,0,0,416,0,0
35948,49,49,0,0,0,0,416,0,0
35959,49,49,0,0,0,0,416,0,0
35970,49,49,0,0,0,0,416,0,0
35981,49,49,0,0,0,0,416,0,0
35991,49,49,0,0,0,0,416,0,0
36002,49,49,0,0,0,0,416,0,0
36013,49,49,0,0,0,0,416,0,0
36024,49,49,0,0,0,0,416,0,0
36034,49,49,0,0,0,0,416,0,0
36045,49,49,0,0,0,0,416,0,0
36056,49,49,0,0,0,0,416,0,0
36066,49,49,0,0,0,0,416,0,0
36077,49,49,0,0,0,0,416,0,0
36088,49,49,0,0,0,0,416,0,0
36099,49,49,0,0,0,0,416,0,0
36109,49,49,0,0,0,0,416,0,0
36120,49,49,0,0,0,0,416,0,0
36131,49,49,0,0,0,0,416,0,0
36142,49,49,0,0,0,0,416,0,0
36152,49,49,0,0,0,0,416,0,0
36163,49,49,0,0,0,0,416,0,0
36174,49,49,0,0,0,0,416,0,0
36185,49,49,0,0,0,0,416,0,0
36195,49,49,0,0,0,0,416,0,0
36206,49,49,0,0,0,0,416,0,0
36217,49,49,0,0,0,0,416,0,0
36227,49,49,0,0,0,0,416,0,0
36238,49,49,0,0,0,0,416,0,0
36249,49,49,0,0,0,0,416,0,0
36260,49,49,0,0,0,0,416,0,0
36271,49,49,0,0,0,0,416,0,0
36281,49,49,0,0,0,0,416,0,0
36292,49,49,0,0,0,0,416,0,0
36303,49,49,0,0,0,0,416,0,0
36313,49,49,0,0,0,0,416,0,0
36324,49,49,0,0,0,0,416,0,0
36335,49,49,0,0,0,0,416,0,0
36346,49,49,0,0,0,0,416,0,0
36356,49,49,0,0,0,0,416,0,0
36367,49,49,0,0,0,0,416,0,0
36378,49,49,0,0,0,0,416,0,0
36389,49,49,0,0,0,0,416,0,0
36399,49,49,0,0,0,0,416,0,0
36410,49,49,0,0,0,0,416,0,0
36421,49,49,0,0,0,0,416,0,0
36432,49,49,0,0,0,0,416,0,0
36442,49,49,0,0,0,0,416,0,0
36453,49,49,0,0,0,0,416,0,0
36464,49,49,0,0,0,0,416,0,0
36475,49,49,0,0,0,0,416,0,0
36486,49,49,0,0,0,0,416,0,0
36497,49,49,0,0,0,0,416,0,0
36507,49,49,0,0,0,0,416,0,0
36518,49,49,0,0,0,0,416,0,0
36529,49,49,0,0,0,0,416,0,0
36539,49,49,0,0,0,0,416,0,0
36550,49,49,0,0,0,0,416,0,0
36561,49,49,0,0,0,0,416,0,0
36572,49,49,0,0,0,0,416,0,0
36582,49,49,0,0,0,0,416,0,0
36593,49,49,0,0,0,0,416,0,0
36604,49,49,0,0,0,0,416,0,0
36614,49,49,0,0,0,0,416,0,0
36625,49,49,0,0,0,0,416,0,0
36636,49,49,0,0,0,0,416,0,0
36647,49,49,0,0,0,0,416,0,0
36662,49,49,0,0,0,0,416,0,0
36673,49,49,0,0,0,0,416,0,0
36683,49,49,0,0,0,0,416,0,0
36694,49,49,0,0,0,0,416,0,0
36705,49,49,0,0,0,0,416,0,0
36716,49,49,0,0,0,0,416,0,0
36726,49,49,0,0,0,0,416,0,0
36737,49,49,0,0,0,0,416,0,0
36748,49,49,0,0,0,0,416,0,0
36758,49,49,0,0,0,0,416,0,0
36769,49,49,0,0,0,0,416,0,0
36780,49,49,0,0,0,0,416,0,0
36790,49,49,0,0,0,0,416,0,0
36801,49,49,0,0,0,0,416,0,0
36812,49,49,0,0,0,0,416,0,0
