original_trace_values,,,,,Simulation_recorded_values,,
start_time,lifespan,cores,jobid,sim_start_time,actual_cores_allocated,sim_end_time,sim_lifespan,actual_cores_released
2846,219,2,4952_1,0,2846,2,3065,219,2
2821,254,2,4935_1,0,2821,2,3075,254,2
2341,740,2,4140_1,0,2341,2,3081,740,2
2693,403,2,4767_1,0,2693,2,3096,403,2
2877,219,2,5004_1,0,2877,2,3096,219,2
2872,225,2,5020_1,0,2872,2,3097,225,2
2875,228,2,4999_1,0,2875,2,3103,228,2
2228,877,2,3971_1,0,2228,2,3105,877,2
2866,240,2,4973_1,0,2866,2,3106,240,2
2901,207,2,5081_1,0,2901,2,3108,207,2
1831,1280,2,3408_1,0,1831,2,3111,1280,2
1827,1286,2,3408_2,0,1827,2,3113,1286,2
2867,250,2,4978_1,0,2867,2,3117,250,2
2867,252,2,4983_1,0,2867,2,3119,252,2
2877,244,2,5025_1,0,2877,2,3121,244,2
2867,255,2,4989_1,0,2867,2,3122,255,2
2875,250,2,5009_1,0,2875,2,3125,250,2
2877,248,2,5036_1,0,2877,2,3125,248,2
2875,257,2,5015_1,0,2875,2,3132,257,2
2877,255,2,5031_1,0,2877,2,3132,255,2
2888,244,2,5056_1,0,2888,2,3132,244,2
2887,249,2,5062_1,0,2887,2,3136,249,2
2564,573,2,4559_1,0,2564,2,3137,573,2
2207,942,2,3944_1,0,2207,2,3149,942,2
2241,910,2,3992_1,0,2241,2,3151,910,2
2344,834,2,4142_1,0,2344,2,3178,834,2
2862,320,2,4994_1,0,2862,2,3182,320,2
2997,190,2,5172_1,0,2997,2,3187,190,2
2388,800,2,4238_1,0,2388,2,3188,800,2
2906,304,2,5092_1,0,2906,2,3210,304,2
2957,258,2,5139_1,0,2957,2,3215,258,2
2948,276,2,5126_1,0,2948,2,3224,276,2
2344,902,2,4145_1,0,2344,2,3246,902,2
2951,301,2,5136_1,0,2951,2,3252,301,2
2564,691,2,4561_1,0,2564,2,3255,691,2
2972,292,2,5149_1,0,2972,2,3264,292,2
2983,295,2,5169_1,0,2983,2,3278,295,2
3005,282,2,5184_1,0,3005,2,3287,282,2
3046,242,2,5226_1,0,3046,2,3288,242,2
2595,702,2,4596_1,0,2595,2,3297,702,2
2692,613,2,4759_1,0,2692,2,3305,613,2
2922,405,2,5107_1,0,2922,2,3327,405,2
2692,650,2,4761_1,0,2692,2,3342,650,2
3046,323,2,5229_1,0,3046,2,3369,323,2
2917,460,2,5102_1,0,2917,2,3377,460,2
3045,359,2,5231_1,0,3045,2,3404,359,2
2677,729,2,4749_1,0,2677,2,3406,729,2
2681,752,2,4747_1,0,2681,2,3433,752,2
2908,543,2,5094_1,0,2908,2,3451,543,2
3173,286,2,5388_1,0,3173,2,3459,286,2
2644,827,2,4671_1,0,2644,2,3471,827,2
3039,439,2,5223_1,0,3039,2,3478,439,2
3210,270,2,5438_1,0,3210,2,3480,270,2
2692,792,2,4764_1,0,2692,2,3484,792,2
2897,594,2,5079_1,0,2897,2,3491,594,2
2997,504,2,5178_1,0,2997,2,3501,504,2
3045,482,2,5234_1,0,3045,2,3527,482,2
2922,617,2,5110_1,0,2922,2,3539,617,2
1820,1727,2,3398_1,0,1820,2,3547,1727,2
3298,290,2,5486_1,0,3298,2,3588,290,2
3045,549,2,5237_1,0,3045,2,3594,549,2
3191,403,2,5406_1,0,3191,2,3594,403,2
3048,557,2,5246_1,0,3048,2,3605,557,2
3383,256,2,5553_2,0,3383,2,3639,256,2
3384,255,2,5553_1,0,3384,2,3639,255,2
3384,255,2,5553_4,0,3384,2,3639,255,2
3384,257,2,5553_3,0,3384,2,3641,257,2
801,2851,2,1655_1,0,801,2,3652,2851,2
3336,353,2,5510_4,0,3336,2,3689,353,2
3336,354,2,5510_1,0,3336,2,3690,354,2
3336,354,2,5510_2,0,3336,2,3690,354,2
3336,354,2,5510_3,0,3336,2,3690,354,2
3453,251,2,5638_1,0,3453,2,3704,251,2
3466,284,2,5647_1,0,3466,2,3750,284,2
3591,204,2,5728_1,0,3591,2,3795,204,2
3618,210,2,5739_1,0,3618,2,3828,210,2
3663,223,2,5790_1,0,3663,2,3886,223,2
3692,211,2,5837_1,0,3692,2,3903,211,2
3506,474,2,5676_1,0,3506,2,3980,474,2
3751,283,2,5889_1,0,3751,2,4034,283,2
3376,664,2,5543_1,0,3376,2,4040,664,2
3376,664,2,5543_2,0,3376,2,4040,664,2
3841,199,2,5969_1,0,3841,2,4040,199,2
3376,665,2,5543_3,0,3376,2,4041,665,2
3376,665,2,5543_4,0,3376,2,4041,665,2
3820,226,2,5933_1,0,3820,2,4046,226,2
3825,227,2,5944_1,0,3825,2,4052,227,2
3852,235,2,5977_1,0,3852,2,4087,235,2
3838,255,2,5960_1,0,3838,2,4093,255,2
3278,850,2,5474_3,0,3278,2,4128,850,2
